timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/04 16:52:36.651, 0 MiB, 0 %
2026/09/04 16:53:06.657, 14661 MiB, 100 %
2026/09/04 16:53:36.658, 14661 MiB, 100 %
2026/09/04 16:54:06.658, 14661 MiB, 100 %
2026/09/04 16:54:36.659, 14661 MiB, 100 %
2026/09/04 16:55:06.660, 14661 MiB, 100 %
2026/09/04 16:55:36.660, 14661 MiB, 100 %
2026/09/04 16:56:06.661, 14661 MiB, 100 %
2026/09/04 16:56:36.662, 14661 MiB, 100 %
2026/09/04 16:57:06.663, 14661 MiB, 98 %
2026/09/04 16:57:36.663, 14661 MiB, 98 %
2026/09/04 16:58:06.663, 14661 MiB, 99 %
2026/09/04 16:58:36.664, 14661 MiB, 99 %
2026/09/04 16:59:06.665, 14661 MiB, 100 %
2026/09/04 16:59:36.665, 14661 MiB, 100 %
2026/09/04 17:00:06.666, 14661 MiB, 100 %
2026/09/04 17:00:36.666, 14661 MiB, 82 %
2026/09/04 17:01:06.667, 14661 MiB, 80 %
2026/09/04 17:01:36.667, 14661 MiB, 76 %
2026/09/04 17:02:06.668, 14661 MiB, 41 %
2026/09/04 17:02:36.674, 14661 MiB, 43 %
2026/09/04 17:03:06.674, 14661 MiB, 57 %
2026/09/04 17:03:36.675, 14661 MiB, 83 %
2026/09/04 17:04:06.675, 14661 MiB, 100 %
2026/09/04 17:04:36.676, 14661 MiB, 100 %
2026/09/04 17:05:06.676, 14661 MiB, 100 %
2026/09/04 17:05:36.677, 14661 MiB, 98 %
2026/09/04 17:06:06.677, 14661 MiB, 100 %
2026/09/04 17:06:36.678, 14661 MiB, 100 %
2026/09/04 17:07:06.679, 14661 MiB, 50 %
2026/09/04 17:07:36.680, 14661 MiB, 57 %
2026/09/04 17:08:06.680, 14661 MiB, 100 %
2026/09/04 17:08:36.681, 14661 MiB, 100 %
2026/09/04 17:09:06.681, 14661 MiB, 100 %
2026/09/04 17:09:36.682, 14661 MiB, 100 %
2026/09/04 17:10:06.683, 14661 MiB, 100 %
2026/09/04 17:10:36.684, 14661 MiB, 100 %
2026/09/04 17:11:06.685, 14661 MiB, 100 %
2026/09/04 17:11:36.686, 14661 MiB, 98 %
2026/09/04 17:12:06.686, 14661 MiB, 98 %
2026/09/04 17:12:36.687, 14661 MiB, 98 %
