timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/05 02:01:34.179, 0 MiB, 0 %
2026/09/05 02:02:04.185, 1641 MiB, 100 %
2026/09/05 02:02:34.185, 1641 MiB, 90 %
2026/09/05 02:03:04.186, 1641 MiB, 62 %
2026/09/05 02:03:34.187, 1641 MiB, 100 %
2026/09/05 02:04:04.187, 1641 MiB, 76 %
2026/09/05 02:04:34.188, 1641 MiB, 100 %
2026/09/05 02:05:04.188, 1641 MiB, 99 %
2026/09/05 02:05:34.189, 1641 MiB, 22 %
2026/09/05 02:06:04.190, 1641 MiB, 64 %
2026/09/05 02:06:34.190, 1641 MiB, 100 %
2026/09/05 02:07:04.191, 1641 MiB, 22 %
2026/09/05 02:07:34.192, 1641 MiB, 100 %
2026/09/05 02:08:04.192, 1641 MiB, 86 %
2026/09/05 02:08:34.193, 1641 MiB, 54 %
2026/09/05 02:09:04.193, 1641 MiB, 100 %
2026/09/05 02:09:34.194, 1641 MiB, 67 %
2026/09/05 02:10:04.194, 1641 MiB, 100 %
2026/09/05 02:10:34.195, 1641 MiB, 24 %
2026/09/05 02:11:04.195, 1641 MiB, 100 %
2026/09/05 02:11:34.196, 1641 MiB, 62 %
2026/09/05 02:12:04.206, 1641 MiB, 29 %
2026/09/05 02:12:34.206, 1641 MiB, 26 %
2026/09/05 02:13:04.207, 1641 MiB, 72 %
2026/09/05 02:13:34.208, 1641 MiB, 81 %
2026/09/05 02:14:04.209, 1641 MiB, 26 %
2026/09/05 02:14:34.209, 1641 MiB, 98 %
2026/09/05 02:15:04.210, 1641 MiB, 65 %
2026/09/05 02:15:34.211, 1641 MiB, 22 %
2026/09/05 02:16:04.212, 1641 MiB, 100 %
2026/09/05 02:16:34.213, 1641 MiB, 100 %
2026/09/05 02:17:04.214, 1641 MiB, 100 %
2026/09/05 02:17:34.215, 1641 MiB, 22 %
2026/09/05 02:18:04.216, 1641 MiB, 85 %
2026/09/05 02:18:34.216, 1641 MiB, 77 %
2026/09/05 02:19:04.218, 1641 MiB, 22 %
2026/09/05 02:19:34.219, 1641 MiB, 98 %
2026/09/05 02:20:04.220, 1641 MiB, 74 %
2026/09/05 02:20:34.220, 1641 MiB, 81 %
2026/09/05 02:21:04.221, 1641 MiB, 77 %
2026/09/05 02:21:34.222, 1641 MiB, 100 %
2026/09/05 02:22:04.223, 1641 MiB, 100 %
2026/09/05 02:22:34.223, 1641 MiB, 100 %
2026/09/05 02:23:04.224, 1641 MiB, 24 %
2026/09/05 02:23:34.225, 1641 MiB, 84 %
2026/09/05 02:24:04.225, 1641 MiB, 98 %
2026/09/05 02:24:34.226, 1641 MiB, 39 %
2026/09/05 02:25:04.227, 1641 MiB, 100 %
2026/09/05 02:25:34.227, 14661 MiB, 39 %
2026/09/05 02:26:04.228, 14661 MiB, 44 %
2026/09/05 02:26:34.229, 14661 MiB, 77 %
2026/09/05 02:27:04.230, 14661 MiB, 100 %
2026/09/05 02:27:34.231, 14661 MiB, 100 %
2026/09/05 02:28:04.232, 14661 MiB, 100 %
2026/09/05 02:28:34.232, 14661 MiB, 83 %
2026/09/05 02:29:04.233, 14661 MiB, 60 %
2026/09/05 02:29:34.234, 14661 MiB, 41 %
