timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/31 19:15:11.544, 0 MiB, 0 %
2026/08/31 19:15:41.550, 14661 MiB, 100 %
2026/08/31 19:16:11.551, 14661 MiB, 100 %
2026/08/31 19:16:41.551, 14661 MiB, 100 %
2026/08/31 19:17:11.552, 14661 MiB, 99 %
2026/08/31 19:17:41.553, 14661 MiB, 100 %
2026/08/31 19:18:11.554, 14661 MiB, 100 %
2026/08/31 19:18:41.555, 14661 MiB, 55 %
2026/08/31 19:19:11.555, 14661 MiB, 100 %
2026/08/31 19:19:41.556, 14661 MiB, 100 %
2026/08/31 19:20:11.557, 14661 MiB, 100 %
2026/08/31 19:20:41.558, 14661 MiB, 100 %
2026/08/31 19:21:11.559, 14661 MiB, 65 %
2026/08/31 19:21:41.559, 14661 MiB, 52 %
2026/08/31 19:22:11.562, 14661 MiB, 100 %
2026/08/31 19:22:41.562, 14661 MiB, 100 %
2026/08/31 19:23:11.563, 14661 MiB, 100 %
2026/08/31 19:23:41.564, 14661 MiB, 100 %
2026/08/31 19:24:11.564, 14661 MiB, 89 %
2026/08/31 19:24:41.565, 14661 MiB, 100 %
2026/08/31 19:25:11.566, 14661 MiB, 98 %
2026/08/31 19:25:41.567, 14661 MiB, 100 %
2026/08/31 19:26:11.568, 14661 MiB, 100 %
2026/08/31 19:26:41.568, 14661 MiB, 54 %
2026/08/31 19:27:11.569, 14661 MiB, 100 %
2026/08/31 19:27:41.570, 14661 MiB, 100 %
2026/08/31 19:28:11.571, 14661 MiB, 100 %
2026/08/31 19:28:41.571, 14661 MiB, 70 %
2026/08/31 19:29:11.572, 14661 MiB, 100 %
2026/08/31 19:29:41.573, 14661 MiB, 100 %
2026/08/31 19:30:11.573, 14661 MiB, 99 %
2026/08/31 19:30:41.574, 14661 MiB, 98 %
2026/08/31 19:31:11.575, 14661 MiB, 98 %
2026/08/31 19:31:41.576, 14661 MiB, 98 %
2026/08/31 19:32:11.578, 14661 MiB, 98 %
2026/08/31 19:32:41.579, 14661 MiB, 100 %
2026/08/31 19:33:11.580, 14661 MiB, 100 %
2026/08/31 19:33:41.581, 14661 MiB, 100 %
2026/08/31 19:34:11.582, 14661 MiB, 100 %
2026/08/31 19:34:41.583, 14661 MiB, 92 %
2026/08/31 19:35:11.584, 14661 MiB, 51 %
2026/08/31 19:35:41.585, 14661 MiB, 92 %
2026/08/31 19:36:11.585, 14661 MiB, 53 %
2026/08/31 19:36:41.599, 14661 MiB, 58 %
2026/08/31 19:37:11.599, 14661 MiB, 100 %
2026/08/31 19:37:41.600, 14661 MiB, 100 %
2026/08/31 19:38:11.601, 14661 MiB, 100 %
2026/08/31 19:38:41.602, 14661 MiB, 100 %
2026/08/31 19:39:11.603, 14661 MiB, 100 %
2026/08/31 19:39:41.604, 14661 MiB, 100 %
2026/08/31 19:40:11.605, 14661 MiB, 100 %
