timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/29 18:21:58.794, 14661 MiB, 49 %
2026/08/29 18:22:00.795, 14661 MiB, 100 %
2026/08/29 18:22:02.795, 14661 MiB, 100 %
2026/08/29 18:22:04.795, 14661 MiB, 53 %
2026/08/29 18:22:06.796, 14661 MiB, 100 %
2026/08/29 18:22:08.797, 14661 MiB, 100 %
2026/08/29 18:22:10.797, 14661 MiB, 66 %
2026/08/29 18:22:12.797, 14661 MiB, 100 %
2026/08/29 18:22:14.797, 14661 MiB, 100 %
2026/08/29 18:22:16.797, 14661 MiB, 96 %
2026/08/29 18:22:18.798, 14661 MiB, 100 %
2026/08/29 18:22:20.798, 14661 MiB, 100 %
2026/08/29 18:22:22.798, 14661 MiB, 100 %
2026/08/29 18:22:24.798, 14661 MiB, 100 %
2026/08/29 18:22:26.798, 14661 MiB, 98 %
2026/08/29 18:22:28.798, 14661 MiB, 100 %
2026/08/29 18:22:30.798, 14661 MiB, 100 %
2026/08/29 18:22:32.799, 14661 MiB, 98 %
2026/08/29 18:22:34.799, 14661 MiB, 100 %
2026/08/29 18:22:36.799, 14661 MiB, 98 %
2026/08/29 18:22:38.799, 14661 MiB, 98 %
2026/08/29 18:22:40.799, 14661 MiB, 100 %
2026/08/29 18:22:42.799, 14661 MiB, 71 %
2026/08/29 18:22:44.799, 14661 MiB, 100 %
2026/08/29 18:22:46.799, 14661 MiB, 100 %
2026/08/29 18:22:48.800, 14661 MiB, 51 %
2026/08/29 18:22:50.800, 14661 MiB, 100 %
2026/08/29 18:22:52.800, 14661 MiB, 100 %
2026/08/29 18:22:54.800, 14661 MiB, 59 %
2026/08/29 18:22:56.800, 14661 MiB, 100 %
2026/08/29 18:22:58.800, 14661 MiB, 100 %
2026/08/29 18:23:00.800, 14661 MiB, 75 %
2026/08/29 18:23:02.801, 14661 MiB, 100 %
2026/08/29 18:23:04.801, 14661 MiB, 100 %
2026/08/29 18:23:06.801, 14661 MiB, 86 %
2026/08/29 18:23:08.801, 14661 MiB, 100 %
2026/08/29 18:23:10.801, 14661 MiB, 100 %
2026/08/29 18:23:12.801, 14661 MiB, 87 %
2026/08/29 18:23:14.801, 14661 MiB, 100 %
2026/08/29 18:23:16.802, 14661 MiB, 100 %
2026/08/29 18:23:18.802, 14661 MiB, 100 %
2026/08/29 18:23:20.802, 14661 MiB, 100 %
2026/08/29 18:23:22.802, 14661 MiB, 99 %
2026/08/29 18:23:24.802, 14661 MiB, 100 %
2026/08/29 18:23:26.803, 14661 MiB, 100 %
2026/08/29 18:23:28.803, 14661 MiB, 98 %
2026/08/29 18:23:30.803, 14661 MiB, 100 %
2026/08/29 18:23:32.803, 14661 MiB, 100 %
2026/08/29 18:23:34.804, 14661 MiB, 98 %
2026/08/29 18:23:36.804, 14661 MiB, 100 %
2026/08/29 18:23:38.804, 14661 MiB, 100 %
2026/08/29 18:23:40.805, 14661 MiB, 98 %
2026/08/29 18:23:42.805, 14661 MiB, 100 %
2026/08/29 18:23:44.805, 14661 MiB, 83 %
2026/08/29 18:23:46.806, 14661 MiB, 97 %
2026/08/29 18:23:48.806, 14661 MiB, 100 %
2026/08/29 18:23:50.806, 14661 MiB, 97 %
2026/08/29 18:23:52.807, 14661 MiB, 98 %
2026/08/29 18:23:54.807, 14661 MiB, 100 %
2026/08/29 18:23:56.807, 14661 MiB, 100 %
2026/08/29 18:23:58.808, 14661 MiB, 98 %
2026/08/29 18:24:00.808, 14661 MiB, 100 %
2026/08/29 18:24:02.808, 14661 MiB, 100 %
2026/08/29 18:24:04.808, 14661 MiB, 98 %
2026/08/29 18:24:06.809, 14661 MiB, 100 %
2026/08/29 18:24:08.809, 14661 MiB, 99 %
2026/08/29 18:24:10.809, 14661 MiB, 99 %
2026/08/29 18:24:12.809, 14661 MiB, 100 %
2026/08/29 18:24:14.809, 14661 MiB, 80 %
2026/08/29 18:24:16.809, 14661 MiB, 98 %
2026/08/29 18:24:18.810, 14661 MiB, 100 %
