timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/30 17:03:41.766, 0 MiB, 0 %
2026/08/30 17:04:11.778, 14661 MiB, 83 %
2026/08/30 17:04:41.780, 14661 MiB, 100 %
2026/08/30 17:05:11.781, 14661 MiB, 100 %
2026/08/30 17:05:41.781, 14661 MiB, 77 %
2026/08/30 17:06:11.783, 14661 MiB, 100 %
2026/08/30 17:06:41.786, 14661 MiB, 100 %
2026/08/30 17:07:11.786, 14661 MiB, 78 %
2026/08/30 17:07:41.787, 14661 MiB, 100 %
2026/08/30 17:08:11.787, 14661 MiB, 100 %
2026/08/30 17:08:41.788, 14661 MiB, 100 %
2026/08/30 17:09:11.789, 14661 MiB, 100 %
2026/08/30 17:09:41.789, 14661 MiB, 98 %
2026/08/30 17:10:11.790, 14661 MiB, 100 %
2026/08/30 17:10:41.791, 14661 MiB, 100 %
2026/08/30 17:11:11.792, 14661 MiB, 100 %
2026/08/30 17:11:41.793, 14661 MiB, 60 %
2026/08/30 17:12:11.794, 14661 MiB, 100 %
2026/08/30 17:12:41.794, 14661 MiB, 100 %
2026/08/30 17:13:11.795, 14661 MiB, 53 %
2026/08/30 17:13:41.796, 14661 MiB, 100 %
2026/08/30 17:14:11.797, 14661 MiB, 100 %
2026/08/30 17:14:41.797, 14661 MiB, 100 %
2026/08/30 17:15:11.798, 14661 MiB, 98 %
2026/08/30 17:15:41.798, 14661 MiB, 100 %
2026/08/30 17:16:11.799, 14661 MiB, 88 %
2026/08/30 17:16:41.800, 14661 MiB, 98 %
2026/08/30 17:17:11.800, 14661 MiB, 100 %
2026/08/30 17:17:41.801, 14661 MiB, 100 %
2026/08/30 17:18:11.802, 14661 MiB, 100 %
2026/08/30 17:18:41.802, 14661 MiB, 100 %
2026/08/30 17:19:11.803, 14661 MiB, 100 %
2026/08/30 17:19:41.803, 14661 MiB, 100 %
2026/08/30 17:20:11.804, 14661 MiB, 100 %
2026/08/30 17:20:41.804, 14661 MiB, 100 %
2026/08/30 17:21:11.805, 14661 MiB, 100 %
2026/08/30 17:21:41.806, 14661 MiB, 74 %
2026/08/30 17:22:11.806, 14661 MiB, 100 %
2026/08/30 17:22:41.807, 14661 MiB, 91 %
2026/08/30 17:23:11.807, 14661 MiB, 100 %
2026/08/30 17:23:41.808, 14661 MiB, 100 %
2026/08/30 17:24:11.808, 14661 MiB, 100 %
2026/08/30 17:24:41.809, 14661 MiB, 100 %
2026/08/30 17:25:11.809, 14661 MiB, 100 %
2026/08/30 17:25:41.810, 14661 MiB, 100 %
2026/08/30 17:26:11.811, 14661 MiB, 97 %
2026/08/30 17:26:41.811, 14661 MiB, 52 %
2026/08/30 17:27:11.812, 14661 MiB, 98 %
2026/08/30 17:27:41.813, 14661 MiB, 50 %
2026/08/30 17:28:11.813, 14661 MiB, 98 %
2026/08/30 17:28:41.814, 14661 MiB, 46 %
2026/08/30 17:29:11.814, 14661 MiB, 98 %
2026/08/30 17:29:41.815, 14661 MiB, 66 %
2026/08/30 17:30:11.815, 14661 MiB, 100 %
2026/08/30 17:30:41.816, 14661 MiB, 100 %
2026/08/30 17:31:11.816, 14661 MiB, 99 %
2026/08/30 17:31:41.817, 14661 MiB, 100 %
2026/08/30 17:32:11.817, 14661 MiB, 50 %
2026/08/30 17:32:41.818, 14661 MiB, 98 %
2026/08/30 17:33:11.818, 14661 MiB, 61 %
2026/08/30 17:33:41.819, 14661 MiB, 98 %
2026/08/30 17:34:11.820, 14661 MiB, 47 %
2026/08/30 17:34:41.820, 14661 MiB, 98 %
2026/08/30 17:35:11.821, 14661 MiB, 100 %
2026/08/30 17:35:41.822, 14661 MiB, 99 %
2026/08/30 17:36:11.822, 14661 MiB, 98 %
2026/08/30 17:36:41.823, 14661 MiB, 85 %
2026/08/30 17:37:11.823, 14661 MiB, 100 %
2026/08/30 17:37:41.824, 14661 MiB, 100 %
2026/08/30 17:38:11.824, 14661 MiB, 84 %
2026/08/30 17:38:41.825, 14661 MiB, 98 %
2026/08/30 17:39:11.825, 14661 MiB, 100 %
2026/08/30 17:39:41.826, 14661 MiB, 86 %
2026/08/30 17:40:11.827, 14661 MiB, 98 %
2026/08/30 17:40:41.828, 14661 MiB, 100 %
2026/08/30 17:41:11.828, 14661 MiB, 100 %
2026/08/30 17:41:41.829, 14661 MiB, 100 %
2026/08/30 17:42:11.830, 14661 MiB, 64 %
2026/08/30 17:42:41.830, 14661 MiB, 100 %
2026/08/30 17:43:11.831, 14661 MiB, 100 %
2026/08/30 17:43:41.831, 14661 MiB, 59 %
2026/08/30 17:44:11.832, 14661 MiB, 100 %
2026/08/30 17:44:41.832, 14661 MiB, 100 %
2026/08/30 17:45:11.833, 14661 MiB, 48 %
2026/08/30 17:45:41.833, 14661 MiB, 98 %
2026/08/30 17:46:11.834, 14661 MiB, 100 %
2026/08/30 17:46:41.835, 14661 MiB, 100 %
2026/08/30 17:47:11.835, 14661 MiB, 100 %
2026/08/30 17:47:41.836, 14661 MiB, 47 %
2026/08/30 17:48:11.836, 14661 MiB, 98 %
2026/08/30 17:48:41.837, 14661 MiB, 100 %
2026/08/30 17:49:11.838, 14661 MiB, 86 %
2026/08/30 17:49:41.838, 14661 MiB, 100 %
2026/08/30 17:50:11.839, 14661 MiB, 61 %
2026/08/30 17:50:41.840, 14661 MiB, 100 %
2026/08/30 17:51:11.841, 14661 MiB, 100 %
2026/08/30 17:51:41.841, 14661 MiB, 100 %
2026/08/30 17:52:11.842, 14661 MiB, 100 %
2026/08/30 17:52:41.843, 14661 MiB, 100 %
2026/08/30 17:53:11.844, 14661 MiB, 100 %
2026/08/30 17:53:41.844, 14661 MiB, 100 %
2026/08/30 17:54:11.845, 14661 MiB, 100 %
2026/08/30 17:54:41.846, 14661 MiB, 100 %
2026/08/30 17:55:11.846, 14661 MiB, 76 %
2026/08/30 17:55:41.847, 14661 MiB, 100 %
2026/08/30 17:56:11.848, 14661 MiB, 98 %
2026/08/30 17:56:41.850, 14661 MiB, 100 %
2026/08/30 17:57:11.851, 14661 MiB, 100 %
2026/08/30 17:57:41.851, 14661 MiB, 100 %
2026/08/30 17:58:11.852, 14661 MiB, 100 %
2026/08/30 17:58:41.853, 14661 MiB, 100 %
2026/08/30 17:59:11.854, 14661 MiB, 98 %
2026/08/30 17:59:41.855, 14661 MiB, 100 %
2026/08/30 18:00:11.855, 14661 MiB, 99 %
2026/08/30 18:00:41.856, 14661 MiB, 100 %
2026/08/30 18:01:11.857, 14661 MiB, 100 %
2026/08/30 18:01:41.858, 14661 MiB, 86 %
2026/08/30 18:02:11.858, 14661 MiB, 98 %
2026/08/30 18:02:41.859, 14661 MiB, 100 %
2026/08/30 18:03:11.860, 14661 MiB, 100 %
2026/08/30 18:03:41.861, 14661 MiB, 98 %
2026/08/30 18:04:11.862, 14661 MiB, 100 %
2026/08/30 18:04:41.863, 14661 MiB, 81 %
2026/08/30 18:05:11.864, 14661 MiB, 98 %
2026/08/30 18:05:41.865, 14661 MiB, 100 %
2026/08/30 18:06:11.866, 14661 MiB, 100 %
2026/08/30 18:06:41.866, 14661 MiB, 100 %
2026/08/30 18:07:11.867, 14661 MiB, 100 %
2026/08/30 18:07:41.868, 14661 MiB, 100 %
2026/08/30 18:08:11.868, 14661 MiB, 100 %
2026/08/30 18:08:41.869, 14661 MiB, 100 %
