timestamp, memory.used [MiB], utilization.gpu [%]
2026/08/31 16:43:06.445, 14661 MiB, 100 %
2026/08/31 16:43:36.446, 14661 MiB, 100 %
2026/08/31 16:44:06.447, 14661 MiB, 100 %
2026/08/31 16:44:36.448, 14661 MiB, 100 %
2026/08/31 16:45:06.449, 14661 MiB, 100 %
2026/08/31 16:45:36.449, 14661 MiB, 100 %
2026/08/31 16:46:06.450, 14661 MiB, 91 %
2026/08/31 16:46:36.451, 14661 MiB, 97 %
2026/08/31 16:47:06.451, 14661 MiB, 75 %
2026/08/31 16:47:36.453, 14661 MiB, 100 %
2026/08/31 16:48:06.453, 14661 MiB, 100 %
2026/08/31 16:48:36.454, 14661 MiB, 100 %
2026/08/31 16:49:06.455, 14661 MiB, 98 %
2026/08/31 16:49:36.455, 14661 MiB, 76 %
2026/08/31 16:50:06.456, 14661 MiB, 100 %
2026/08/31 16:50:36.457, 14661 MiB, 100 %
2026/08/31 16:51:06.457, 14661 MiB, 100 %
2026/08/31 16:51:36.458, 14661 MiB, 84 %
2026/08/31 16:52:06.459, 14661 MiB, 100 %
2026/08/31 16:52:36.460, 14661 MiB, 100 %
2026/08/31 16:53:06.460, 14661 MiB, 75 %
2026/08/31 16:53:36.461, 14661 MiB, 100 %
2026/08/31 16:54:06.463, 14661 MiB, 100 %
2026/08/31 16:54:36.464, 14661 MiB, 50 %
2026/08/31 16:55:06.464, 14661 MiB, 98 %
2026/08/31 16:55:36.465, 14661 MiB, 100 %
2026/08/31 16:56:06.466, 14661 MiB, 100 %
2026/08/31 16:56:36.467, 14661 MiB, 100 %
2026/08/31 16:57:06.468, 14661 MiB, 100 %
2026/08/31 16:57:36.468, 14661 MiB, 100 %
2026/08/31 16:58:06.469, 14661 MiB, 100 %
2026/08/31 16:58:36.470, 14661 MiB, 100 %
2026/08/31 16:59:06.471, 14661 MiB, 100 %
2026/08/31 16:59:36.471, 14661 MiB, 100 %
2026/08/31 17:00:06.472, 14661 MiB, 100 %
2026/08/31 17:00:36.473, 14661 MiB, 100 %
2026/08/31 17:01:06.475, 14661 MiB, 100 %
2026/08/31 17:01:36.476, 14661 MiB, 50 %
2026/08/31 17:02:06.477, 14661 MiB, 100 %
2026/08/31 17:02:36.478, 14661 MiB, 100 %
2026/08/31 17:03:06.479, 14661 MiB, 62 %
2026/08/31 17:03:36.480, 14661 MiB, 100 %
2026/08/31 17:04:06.480, 14661 MiB, 100 %
2026/08/31 17:04:36.481, 14661 MiB, 100 %
2026/08/31 17:05:06.482, 14661 MiB, 98 %
2026/08/31 17:05:36.483, 14661 MiB, 100 %
2026/08/31 17:06:06.484, 14661 MiB, 100 %
2026/08/31 17:06:36.485, 14661 MiB, 98 %
2026/08/31 17:07:06.486, 14661 MiB, 100 %
2026/08/31 17:07:36.486, 14661 MiB, 100 %
2026/08/31 17:08:06.487, 14661 MiB, 100 %
2026/08/31 17:08:36.488, 14661 MiB, 98 %
2026/08/31 17:09:06.489, 14661 MiB, 92 %
2026/08/31 17:09:36.490, 14661 MiB, 100 %
2026/08/31 17:10:06.490, 14661 MiB, 98 %
2026/08/31 17:10:36.491, 14661 MiB, 100 %
2026/08/31 17:11:06.492, 14661 MiB, 100 %
2026/08/31 17:11:36.493, 14661 MiB, 98 %
2026/08/31 17:12:06.494, 14661 MiB, 100 %
2026/08/31 17:12:36.495, 14661 MiB, 71 %
2026/08/31 17:13:06.496, 14661 MiB, 98 %
2026/08/31 17:13:36.496, 14661 MiB, 100 %
2026/08/31 17:14:06.497, 14661 MiB, 81 %
2026/08/31 17:14:36.498, 14661 MiB, 100 %
2026/08/31 17:15:06.498, 14661 MiB, 100 %
2026/08/31 17:15:36.499, 14661 MiB, 56 %
2026/08/31 17:16:06.500, 14661 MiB, 100 %
2026/08/31 17:16:36.501, 14661 MiB, 100 %
2026/08/31 17:17:06.502, 14661 MiB, 100 %
2026/08/31 17:17:36.503, 14661 MiB, 100 %
2026/08/31 17:18:06.503, 14661 MiB, 100 %
2026/08/31 17:18:36.504, 14661 MiB, 49 %
2026/08/31 17:19:06.505, 14661 MiB, 100 %
2026/08/31 17:19:36.506, 14661 MiB, 100 %
2026/08/31 17:20:06.507, 14661 MiB, 51 %
2026/08/31 17:20:36.508, 14661 MiB, 100 %
2026/08/31 17:21:06.509, 14661 MiB, 98 %
2026/08/31 17:21:36.510, 14661 MiB, 100 %
2026/08/31 17:22:06.511, 14661 MiB, 91 %
2026/08/31 17:22:36.511, 14661 MiB, 100 %
2026/08/31 17:23:06.512, 14661 MiB, 100 %
2026/08/31 17:23:36.514, 14661 MiB, 100 %
2026/08/31 17:24:06.514, 14661 MiB, 100 %
2026/08/31 17:24:36.515, 14661 MiB, 98 %
2026/08/31 17:25:06.516, 14661 MiB, 100 %
2026/08/31 17:25:36.517, 14661 MiB, 100 %
2026/08/31 17:26:06.517, 14661 MiB, 100 %
2026/08/31 17:26:36.518, 14661 MiB, 100 %
2026/08/31 17:27:06.518, 14661 MiB, 52 %
2026/08/31 17:27:36.519, 14661 MiB, 100 %
2026/08/31 17:28:06.520, 14661 MiB, 100 %
2026/08/31 17:28:36.521, 14661 MiB, 89 %
2026/08/31 17:29:06.522, 14661 MiB, 100 %
2026/08/31 17:29:36.522, 14661 MiB, 100 %
2026/08/31 17:30:06.523, 14661 MiB, 100 %
2026/08/31 17:30:36.524, 14661 MiB, 100 %
2026/08/31 17:31:06.524, 14661 MiB, 100 %
2026/08/31 17:31:36.525, 14661 MiB, 97 %
2026/08/31 17:32:06.526, 14661 MiB, 98 %
2026/08/31 17:32:36.527, 14661 MiB, 100 %
2026/08/31 17:33:06.528, 14661 MiB, 100 %
2026/08/31 17:33:36.529, 14661 MiB, 100 %
2026/08/31 17:34:06.530, 14661 MiB, 100 %
2026/08/31 17:34:36.531, 14661 MiB, 100 %
2026/08/31 17:35:06.532, 14661 MiB, 100 %
2026/08/31 17:35:36.533, 14661 MiB, 100 %
2026/08/31 17:36:06.534, 14661 MiB, 98 %
2026/08/31 17:36:36.534, 14661 MiB, 100 %
2026/08/31 17:37:06.535, 14661 MiB, 100 %
