timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/02 09:48:22.500, 0 MiB, 0 %
2026/09/02 09:48:52.506, 1639 MiB, 23 %
2026/09/02 09:49:22.506, 1639 MiB, 100 %
2026/09/02 09:49:52.507, 1639 MiB, 100 %
2026/09/02 09:50:22.508, 1639 MiB, 100 %
2026/09/02 09:50:52.509, 1639 MiB, 79 %
2026/09/02 09:51:22.510, 1639 MiB, 100 %
2026/09/02 09:51:52.511, 1639 MiB, 100 %
2026/09/02 09:52:22.512, 1639 MiB, 100 %
2026/09/02 09:52:52.513, 1639 MiB, 100 %
2026/09/02 09:53:22.513, 1639 MiB, 100 %
2026/09/02 09:53:52.514, 1639 MiB, 100 %
2026/09/02 09:54:22.515, 1639 MiB, 100 %
2026/09/02 09:54:52.516, 1639 MiB, 100 %
2026/09/02 09:55:22.517, 1639 MiB, 100 %
2026/09/02 09:55:52.518, 1639 MiB, 94 %
2026/09/02 09:56:22.518, 1639 MiB, 100 %
2026/09/02 09:56:52.519, 1639 MiB, 100 %
2026/09/02 09:57:22.520, 1639 MiB, 100 %
2026/09/02 09:57:52.521, 1639 MiB, 72 %
2026/09/02 09:58:22.522, 1639 MiB, 23 %
2026/09/02 09:58:52.522, 1639 MiB, 100 %
2026/09/02 09:59:22.523, 1639 MiB, 100 %
2026/09/02 09:59:52.524, 1639 MiB, 100 %
2026/09/02 10:00:22.525, 1639 MiB, 93 %
2026/09/02 10:00:52.525, 1639 MiB, 100 %
2026/09/02 10:01:22.526, 1639 MiB, 100 %
2026/09/02 10:01:52.527, 1639 MiB, 24 %
2026/09/02 10:02:22.527, 1639 MiB, 71 %
2026/09/02 10:02:52.528, 1639 MiB, 100 %
2026/09/02 10:03:22.529, 1639 MiB, 23 %
2026/09/02 10:03:52.530, 1639 MiB, 100 %
2026/09/02 10:04:22.531, 1639 MiB, 100 %
2026/09/02 10:04:52.531, 1639 MiB, 74 %
2026/09/02 10:05:22.532, 1639 MiB, 100 %
2026/09/02 10:05:52.533, 1639 MiB, 100 %
2026/09/02 10:06:22.534, 1639 MiB, 100 %
2026/09/02 10:06:52.535, 1639 MiB, 100 %
2026/09/02 10:07:22.535, 1639 MiB, 73 %
2026/09/02 10:07:52.536, 1639 MiB, 63 %
2026/09/02 10:08:22.537, 1639 MiB, 100 %
2026/09/02 10:08:52.556, 1639 MiB, 23 %
2026/09/02 10:09:22.556, 1639 MiB, 100 %
2026/09/02 10:09:52.557, 1639 MiB, 29 %
2026/09/02 10:10:22.558, 1639 MiB, 71 %
2026/09/02 10:10:52.558, 1639 MiB, 100 %
2026/09/02 10:11:22.559, 1639 MiB, 100 %
2026/09/02 10:11:52.560, 1639 MiB, 100 %
2026/09/02 10:12:22.560, 1639 MiB, 22 %
2026/09/02 10:12:52.560, 1639 MiB, 100 %
2026/09/02 10:13:22.561, 1639 MiB, 100 %
2026/09/02 10:13:52.561, 1639 MiB, 100 %
2026/09/02 10:14:22.562, 1639 MiB, 100 %
2026/09/02 10:14:52.562, 1639 MiB, 100 %
2026/09/02 10:15:22.562, 1639 MiB, 100 %
2026/09/02 10:15:52.563, 1639 MiB, 22 %
2026/09/02 10:16:22.563, 1639 MiB, 100 %
2026/09/02 10:16:52.564, 1639 MiB, 23 %
2026/09/02 10:17:22.564, 1639 MiB, 73 %
2026/09/02 10:17:52.565, 1639 MiB, 22 %
2026/09/02 10:18:22.565, 1639 MiB, 100 %
2026/09/02 10:18:52.566, 1639 MiB, 61 %
2026/09/02 10:19:22.566, 1639 MiB, 69 %
2026/09/02 10:19:52.567, 1639 MiB, 100 %
2026/09/02 10:20:22.567, 1639 MiB, 100 %
2026/09/02 10:20:52.567, 1639 MiB, 100 %
2026/09/02 10:21:22.568, 1639 MiB, 100 %
2026/09/02 10:21:52.568, 1639 MiB, 100 %
2026/09/02 10:22:22.569, 1639 MiB, 69 %
2026/09/02 10:22:52.569, 1639 MiB, 31 %
2026/09/02 10:23:22.570, 1639 MiB, 100 %
2026/09/02 10:23:52.570, 1639 MiB, 23 %
2026/09/02 10:24:22.571, 1639 MiB, 100 %
2026/09/02 10:24:52.572, 1639 MiB, 100 %
2026/09/02 10:25:22.572, 1639 MiB, 100 %
2026/09/02 10:25:52.573, 1639 MiB, 24 %
2026/09/02 10:26:22.574, 1639 MiB, 98 %
2026/09/02 10:26:52.574, 1639 MiB, 100 %
2026/09/02 10:27:22.575, 1639 MiB, 100 %
2026/09/02 10:27:52.576, 1639 MiB, 29 %
2026/09/02 10:28:22.577, 1639 MiB, 83 %
2026/09/02 10:28:52.578, 1639 MiB, 71 %
2026/09/02 10:29:22.579, 1639 MiB, 32 %
2026/09/02 10:29:52.579, 1639 MiB, 100 %
2026/09/02 10:30:22.580, 1639 MiB, 100 %
2026/09/02 10:30:52.581, 1639 MiB, 100 %
2026/09/02 10:31:22.582, 1639 MiB, 24 %
2026/09/02 10:31:52.582, 1639 MiB, 100 %
2026/09/02 10:32:22.584, 1639 MiB, 83 %
2026/09/02 10:32:52.584, 1639 MiB, 34 %
2026/09/02 10:33:22.584, 1639 MiB, 72 %
2026/09/02 10:33:52.585, 1639 MiB, 37 %
2026/09/02 10:34:22.585, 1639 MiB, 100 %
2026/09/02 10:34:52.585, 1639 MiB, 74 %
2026/09/02 10:35:22.586, 1639 MiB, 100 %
