timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/02 17:26:49.662, 0 MiB, 0 %
2026/09/02 17:27:19.667, 1639 MiB, 100 %
2026/09/02 17:27:49.667, 1639 MiB, 92 %
2026/09/02 17:28:19.668, 1639 MiB, 100 %
2026/09/02 17:28:49.668, 1639 MiB, 100 %
2026/09/02 17:29:19.669, 1639 MiB, 100 %
2026/09/02 17:29:49.670, 1639 MiB, 76 %
2026/09/02 17:30:19.678, 1639 MiB, 85 %
2026/09/02 17:30:49.678, 1639 MiB, 100 %
2026/09/02 17:31:19.679, 1639 MiB, 23 %
2026/09/02 17:31:49.680, 1639 MiB, 67 %
2026/09/02 17:32:19.681, 1639 MiB, 100 %
2026/09/02 17:32:49.682, 1639 MiB, 100 %
2026/09/02 17:33:19.682, 1639 MiB, 80 %
2026/09/02 17:33:49.683, 1639 MiB, 100 %
2026/09/02 17:34:19.684, 1639 MiB, 23 %
2026/09/02 17:34:49.685, 1639 MiB, 69 %
2026/09/02 17:35:19.685, 1639 MiB, 100 %
2026/09/02 17:35:49.685, 1639 MiB, 91 %
2026/09/02 17:36:19.686, 1639 MiB, 100 %
2026/09/02 17:36:49.687, 1639 MiB, 100 %
2026/09/02 17:37:19.687, 1639 MiB, 96 %
2026/09/02 17:37:49.688, 1639 MiB, 100 %
2026/09/02 17:38:19.689, 1639 MiB, 100 %
2026/09/02 17:38:49.690, 1639 MiB, 92 %
2026/09/02 17:39:19.691, 1639 MiB, 100 %
2026/09/02 17:39:49.692, 1639 MiB, 100 %
2026/09/02 17:40:19.693, 1639 MiB, 72 %
2026/09/02 17:40:49.694, 1639 MiB, 100 %
2026/09/02 17:41:19.694, 1639 MiB, 68 %
2026/09/02 17:41:49.695, 1639 MiB, 22 %
2026/09/02 17:42:19.696, 1639 MiB, 100 %
2026/09/02 17:42:49.697, 1639 MiB, 100 %
2026/09/02 17:43:19.697, 1639 MiB, 100 %
2026/09/02 17:43:49.698, 1639 MiB, 23 %
2026/09/02 17:44:19.714, 1639 MiB, 100 %
2026/09/02 17:44:49.714, 1639 MiB, 100 %
2026/09/02 17:45:19.715, 1639 MiB, 23 %
2026/09/02 17:45:49.716, 1639 MiB, 100 %
2026/09/02 17:46:19.717, 1639 MiB, 22 %
2026/09/02 17:46:49.718, 1639 MiB, 100 %
2026/09/02 17:47:19.718, 1639 MiB, 100 %
2026/09/02 17:47:49.719, 1639 MiB, 100 %
2026/09/02 17:48:19.720, 1639 MiB, 100 %
2026/09/02 17:48:49.721, 1639 MiB, 22 %
2026/09/02 17:49:19.721, 1639 MiB, 100 %
2026/09/02 17:49:49.722, 1639 MiB, 90 %
2026/09/02 17:50:19.722, 1639 MiB, 66 %
2026/09/02 17:50:49.723, 1639 MiB, 39 %
2026/09/02 17:51:19.724, 1639 MiB, 100 %
2026/09/02 17:51:49.724, 1639 MiB, 100 %
2026/09/02 17:52:19.725, 1639 MiB, 100 %
2026/09/02 17:52:49.726, 1639 MiB, 25 %
2026/09/02 17:53:19.726, 1639 MiB, 100 %
2026/09/02 17:53:49.727, 1639 MiB, 100 %
2026/09/02 17:54:19.728, 1639 MiB, 81 %
2026/09/02 17:54:49.728, 1639 MiB, 100 %
