timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/01 13:52:25.432, 0 MiB, 0 %
2026/09/01 13:52:55.438, 14705 MiB, 100 %
2026/09/01 13:53:25.439, 14705 MiB, 98 %
2026/09/01 13:53:55.440, 14705 MiB, 100 %
2026/09/01 13:54:25.441, 14705 MiB, 99 %
2026/09/01 13:54:55.441, 14705 MiB, 100 %
2026/09/01 13:55:25.442, 14705 MiB, 100 %
2026/09/01 13:55:55.443, 14705 MiB, 19 %
2026/09/01 13:56:25.444, 14705 MiB, 100 %
2026/09/01 13:56:55.445, 14705 MiB, 100 %
2026/09/01 13:57:25.446, 14705 MiB, 52 %
2026/09/01 13:57:55.447, 14705 MiB, 98 %
2026/09/01 13:58:25.448, 14705 MiB, 100 %
2026/09/01 13:58:55.448, 14705 MiB, 48 %
2026/09/01 13:59:25.449, 14705 MiB, 100 %
2026/09/01 13:59:55.450, 14705 MiB, 19 %
2026/09/01 14:00:25.451, 14705 MiB, 100 %
2026/09/01 14:00:55.452, 14705 MiB, 100 %
2026/09/01 14:01:25.453, 14705 MiB, 100 %
2026/09/01 14:01:55.454, 14705 MiB, 99 %
2026/09/01 14:02:25.455, 14705 MiB, 51 %
2026/09/01 14:02:55.456, 14705 MiB, 100 %
2026/09/01 14:03:25.457, 14705 MiB, 100 %
2026/09/01 14:03:55.458, 14705 MiB, 97 %
2026/09/01 14:04:25.459, 14705 MiB, 98 %
2026/09/01 14:04:55.460, 14705 MiB, 47 %
2026/09/01 14:05:25.461, 14705 MiB, 100 %
2026/09/01 14:05:55.462, 14705 MiB, 100 %
2026/09/01 14:06:25.463, 14705 MiB, 100 %
2026/09/01 14:06:55.464, 14705 MiB, 100 %
2026/09/01 14:07:25.465, 14705 MiB, 100 %
2026/09/01 14:07:55.466, 14705 MiB, 100 %
2026/09/01 14:08:25.467, 14705 MiB, 47 %
2026/09/01 14:08:55.468, 14705 MiB, 98 %
2026/09/01 14:09:25.469, 14705 MiB, 89 %
2026/09/01 14:09:55.470, 14705 MiB, 100 %
2026/09/01 14:10:25.471, 14705 MiB, 100 %
2026/09/01 14:10:55.472, 14705 MiB, 100 %
2026/09/01 14:11:25.476, 14705 MiB, 100 %
2026/09/01 14:11:55.478, 14705 MiB, 61 %
2026/09/01 14:12:25.479, 14705 MiB, 24 %
2026/09/01 14:12:55.479, 14705 MiB, 100 %
2026/09/01 14:13:25.481, 14705 MiB, 42 %
2026/09/01 14:13:55.482, 14705 MiB, 100 %
2026/09/01 14:14:25.482, 14705 MiB, 100 %
2026/09/01 14:14:55.483, 14705 MiB, 100 %
2026/09/01 14:15:25.484, 14705 MiB, 100 %
2026/09/01 14:15:55.486, 14705 MiB, 21 %
2026/09/01 14:16:25.486, 14705 MiB, 100 %
2026/09/01 14:16:55.487, 14705 MiB, 100 %
2026/09/01 14:17:25.488, 14705 MiB, 82 %
2026/09/01 14:17:55.489, 14705 MiB, 100 %
2026/09/01 14:18:25.490, 14705 MiB, 100 %
2026/09/01 14:18:55.491, 14705 MiB, 100 %
2026/09/01 14:19:25.492, 14705 MiB, 100 %
2026/09/01 14:19:55.493, 14705 MiB, 21 %
2026/09/01 14:20:25.493, 14705 MiB, 98 %
2026/09/01 14:20:55.494, 14705 MiB, 100 %
2026/09/01 14:21:25.495, 14705 MiB, 28 %
2026/09/01 14:21:55.496, 14705 MiB, 100 %
2026/09/01 14:22:25.496, 14705 MiB, 21 %
2026/09/01 14:22:55.497, 14705 MiB, 100 %
2026/09/01 14:23:25.498, 14705 MiB, 28 %
2026/09/01 14:23:55.499, 14705 MiB, 100 %
2026/09/01 14:24:25.500, 14705 MiB, 100 %
2026/09/01 14:24:55.501, 14705 MiB, 19 %
2026/09/01 14:25:25.502, 14705 MiB, 100 %
2026/09/01 14:25:55.503, 14705 MiB, 100 %
2026/09/01 14:26:25.504, 14705 MiB, 100 %
2026/09/01 14:26:55.505, 14705 MiB, 100 %
2026/09/01 14:27:25.506, 14705 MiB, 100 %
2026/09/01 14:27:55.507, 14705 MiB, 85 %
2026/09/01 14:28:25.508, 14705 MiB, 100 %
2026/09/01 14:28:55.509, 14705 MiB, 98 %
2026/09/01 14:29:25.510, 14705 MiB, 100 %
2026/09/01 14:29:55.511, 14705 MiB, 27 %
2026/09/01 14:30:25.512, 14705 MiB, 100 %
2026/09/01 14:30:55.513, 14705 MiB, 100 %
2026/09/01 14:31:25.514, 14705 MiB, 98 %
2026/09/01 14:31:55.515, 14705 MiB, 100 %
2026/09/01 14:32:25.516, 14705 MiB, 82 %
2026/09/01 14:32:55.517, 14705 MiB, 100 %
2026/09/01 14:33:25.517, 14705 MiB, 100 %
2026/09/01 14:33:55.518, 14705 MiB, 100 %
2026/09/01 14:34:25.519, 14705 MiB, 47 %
2026/09/01 14:34:55.520, 14705 MiB, 100 %
2026/09/01 14:35:25.521, 14705 MiB, 98 %
2026/09/01 14:35:55.522, 14705 MiB, 0 %
2026/09/01 14:36:25.523, 14705 MiB, 21 %
2026/09/01 14:36:55.525, 14705 MiB, 100 %
2026/09/01 14:37:25.526, 14705 MiB, 100 %
2026/09/01 14:37:55.527, 14705 MiB, 40 %
2026/09/01 14:38:25.528, 14705 MiB, 100 %
2026/09/01 14:38:55.528, 14705 MiB, 100 %
2026/09/01 14:39:25.529, 14705 MiB, 42 %
2026/09/01 14:39:55.530, 14705 MiB, 100 %
2026/09/01 14:40:25.531, 14705 MiB, 100 %
2026/09/01 14:40:55.532, 14705 MiB, 43 %
2026/09/01 14:41:25.533, 14705 MiB, 98 %
2026/09/01 14:41:55.534, 14705 MiB, 96 %
2026/09/01 14:42:25.535, 14705 MiB, 99 %
2026/09/01 14:42:55.536, 14705 MiB, 100 %
2026/09/01 14:43:25.537, 14705 MiB, 100 %
2026/09/01 14:43:55.538, 14705 MiB, 100 %
2026/09/01 14:44:25.539, 14705 MiB, 27 %
2026/09/01 14:44:55.540, 14705 MiB, 100 %
2026/09/01 14:45:25.540, 14705 MiB, 100 %
2026/09/01 14:45:55.541, 14705 MiB, 51 %
2026/09/01 14:46:25.542, 14705 MiB, 100 %
2026/09/01 14:46:55.543, 14705 MiB, 19 %
2026/09/01 14:47:25.543, 14705 MiB, 97 %
2026/09/01 14:47:55.544, 14705 MiB, 45 %
2026/09/01 14:48:25.545, 14705 MiB, 98 %
2026/09/01 14:48:55.546, 14705 MiB, 40 %
2026/09/01 14:49:25.546, 14705 MiB, 100 %
2026/09/01 14:49:55.547, 14705 MiB, 76 %
2026/09/01 14:50:25.548, 14705 MiB, 100 %
2026/09/01 14:50:55.549, 14705 MiB, 100 %
2026/09/01 14:51:25.550, 14705 MiB, 98 %
2026/09/01 14:51:55.550, 14705 MiB, 100 %
2026/09/01 14:52:25.551, 14705 MiB, 100 %
2026/09/01 14:52:55.552, 14705 MiB, 98 %
2026/09/01 14:53:25.553, 14705 MiB, 100 %
2026/09/01 14:53:55.554, 14705 MiB, 100 %
2026/09/01 14:54:25.555, 14705 MiB, 19 %
2026/09/01 14:54:55.556, 14705 MiB, 100 %
2026/09/01 14:55:25.557, 14705 MiB, 100 %
2026/09/01 14:55:55.558, 14705 MiB, 100 %
2026/09/01 14:56:25.559, 14705 MiB, 100 %
2026/09/01 14:56:55.560, 14705 MiB, 85 %
2026/09/01 14:57:25.561, 14705 MiB, 19 %
2026/09/01 14:57:55.562, 14705 MiB, 100 %
2026/09/01 14:58:25.563, 14705 MiB, 100 %
2026/09/01 14:58:55.564, 14705 MiB, 98 %
2026/09/01 14:59:25.564, 14705 MiB, 100 %
2026/09/01 14:59:55.565, 14705 MiB, 58 %
2026/09/01 15:00:25.566, 14705 MiB, 47 %
2026/09/01 15:00:55.567, 14705 MiB, 100 %
2026/09/01 15:01:25.568, 14705 MiB, 100 %
2026/09/01 15:01:55.569, 14705 MiB, 98 %
2026/09/01 15:02:25.569, 14705 MiB, 100 %
2026/09/01 15:02:55.570, 14705 MiB, 100 %
2026/09/01 15:03:25.571, 14705 MiB, 59 %
2026/09/01 15:03:55.572, 14705 MiB, 100 %
2026/09/01 15:04:25.573, 14705 MiB, 68 %
2026/09/01 15:04:55.574, 14705 MiB, 100 %
2026/09/01 15:05:25.575, 14705 MiB, 100 %
2026/09/01 15:05:55.576, 14705 MiB, 100 %
2026/09/01 15:06:25.577, 14705 MiB, 100 %
2026/09/01 15:06:55.578, 14705 MiB, 100 %
2026/09/01 15:07:25.578, 14705 MiB, 100 %
2026/09/01 15:07:55.579, 14705 MiB, 83 %
2026/09/01 15:08:25.580, 14705 MiB, 18 %
2026/09/01 15:08:55.580, 14705 MiB, 100 %
2026/09/01 15:09:25.581, 14705 MiB, 100 %
2026/09/01 15:09:55.582, 14705 MiB, 100 %
2026/09/01 15:10:25.583, 14705 MiB, 100 %
2026/09/01 15:10:55.584, 14705 MiB, 100 %
2026/09/01 15:11:25.584, 14705 MiB, 59 %
2026/09/01 15:11:55.585, 14705 MiB, 100 %
2026/09/01 15:12:25.586, 14705 MiB, 58 %
2026/09/01 15:12:55.586, 14705 MiB, 100 %
2026/09/01 15:13:25.587, 14705 MiB, 100 %
2026/09/01 15:13:55.588, 14705 MiB, 100 %
2026/09/01 15:14:25.589, 14705 MiB, 100 %
2026/09/01 15:14:55.590, 14705 MiB, 26 %
2026/09/01 15:15:25.591, 14705 MiB, 98 %
2026/09/01 15:15:55.592, 14705 MiB, 100 %
2026/09/01 15:16:25.593, 14705 MiB, 88 %
2026/09/01 15:16:55.593, 14705 MiB, 98 %
2026/09/01 15:17:25.594, 14705 MiB, 72 %
2026/09/01 15:17:55.595, 14705 MiB, 100 %
2026/09/01 15:18:25.596, 14705 MiB, 100 %
2026/09/01 15:18:55.597, 14705 MiB, 85 %
2026/09/01 15:19:25.597, 14705 MiB, 100 %
2026/09/01 15:19:55.598, 14705 MiB, 100 %
2026/09/01 15:20:25.599, 14705 MiB, 43 %
2026/09/01 15:20:55.600, 14705 MiB, 67 %
2026/09/01 15:21:25.601, 14705 MiB, 100 %
2026/09/01 15:21:55.601, 14705 MiB, 72 %
2026/09/01 15:22:25.602, 14705 MiB, 100 %
2026/09/01 15:22:55.603, 14705 MiB, 100 %
2026/09/01 15:23:25.603, 14705 MiB, 19 %
2026/09/01 15:23:55.604, 14705 MiB, 100 %
2026/09/01 15:24:25.605, 14705 MiB, 100 %
2026/09/01 15:24:55.605, 14705 MiB, 25 %
2026/09/01 15:25:25.606, 14705 MiB, 100 %
2026/09/01 15:25:55.606, 14705 MiB, 100 %
2026/09/01 15:26:25.607, 14705 MiB, 32 %
2026/09/01 15:26:55.607, 14705 MiB, 100 %
2026/09/01 15:27:25.608, 14705 MiB, 100 %
2026/09/01 15:27:55.609, 14705 MiB, 30 %
2026/09/01 15:28:25.609, 14705 MiB, 98 %
2026/09/01 15:28:55.609, 14705 MiB, 100 %
2026/09/01 15:29:25.611, 14705 MiB, 100 %
2026/09/01 15:29:55.612, 14705 MiB, 100 %
2026/09/01 15:30:25.613, 14705 MiB, 100 %
2026/09/01 15:30:55.614, 14705 MiB, 100 %
2026/09/01 15:31:25.615, 14705 MiB, 60 %
2026/09/01 15:31:55.616, 14705 MiB, 100 %
2026/09/01 15:32:25.616, 14705 MiB, 100 %
2026/09/01 15:32:55.617, 14705 MiB, 100 %
2026/09/01 15:33:25.617, 14705 MiB, 100 %
2026/09/01 15:33:55.618, 14705 MiB, 100 %
2026/09/01 15:34:25.618, 14705 MiB, 18 %
2026/09/01 15:34:55.619, 14705 MiB, 100 %
2026/09/01 15:35:25.620, 14705 MiB, 100 %
2026/09/01 15:35:55.620, 14705 MiB, 100 %
2026/09/01 15:36:25.621, 14705 MiB, 100 %
2026/09/01 15:36:55.621, 14705 MiB, 18 %
2026/09/01 15:37:25.622, 14705 MiB, 98 %
2026/09/01 15:37:55.622, 14705 MiB, 84 %
2026/09/01 15:38:25.623, 14705 MiB, 100 %
2026/09/01 15:38:55.624, 14705 MiB, 100 %
2026/09/01 15:39:25.625, 14705 MiB, 88 %
2026/09/01 15:39:55.626, 14705 MiB, 100 %
2026/09/01 15:40:25.626, 14705 MiB, 100 %
2026/09/01 15:40:55.627, 14705 MiB, 100 %
2026/09/01 15:41:25.628, 14705 MiB, 34 %
2026/09/01 15:41:55.628, 14705 MiB, 100 %
2026/09/01 15:42:25.629, 14705 MiB, 53 %
2026/09/01 15:42:55.630, 14705 MiB, 100 %
2026/09/01 15:43:25.631, 14705 MiB, 81 %
2026/09/01 15:43:55.632, 14705 MiB, 100 %
2026/09/01 15:44:25.632, 14705 MiB, 100 %
2026/09/01 15:44:55.634, 14705 MiB, 31 %
2026/09/01 15:45:25.634, 14705 MiB, 100 %
2026/09/01 15:45:55.635, 14705 MiB, 100 %
2026/09/01 15:46:25.636, 14705 MiB, 44 %
2026/09/01 15:46:55.637, 14705 MiB, 98 %
2026/09/01 15:47:25.639, 14705 MiB, 87 %
2026/09/01 15:47:55.639, 14705 MiB, 100 %
2026/09/01 15:48:25.640, 14705 MiB, 81 %
2026/09/01 15:48:55.641, 14705 MiB, 58 %
2026/09/01 15:49:25.641, 14705 MiB, 98 %
2026/09/01 15:49:55.642, 14705 MiB, 100 %
2026/09/01 15:50:25.642, 14705 MiB, 58 %
2026/09/01 15:50:55.643, 14705 MiB, 99 %
2026/09/01 15:51:25.644, 14705 MiB, 21 %
2026/09/01 15:51:55.644, 14705 MiB, 100 %
2026/09/01 15:52:25.644, 14705 MiB, 100 %
2026/09/01 15:52:55.645, 14705 MiB, 100 %
2026/09/01 15:53:25.646, 14705 MiB, 100 %
2026/09/01 15:53:55.647, 14705 MiB, 77 %
2026/09/01 15:54:25.648, 14705 MiB, 100 %
2026/09/01 15:54:55.648, 14705 MiB, 19 %
2026/09/01 15:55:25.649, 14705 MiB, 100 %
2026/09/01 15:55:55.649, 14705 MiB, 100 %
2026/09/01 15:56:25.649, 14705 MiB, 97 %
2026/09/01 15:56:55.650, 14705 MiB, 75 %
2026/09/01 15:57:25.651, 14705 MiB, 100 %
2026/09/01 15:57:55.651, 14705 MiB, 100 %
