timestamp, memory.used [MiB], utilization.gpu [%]
2026/09/01 09:37:12.807, 1639 MiB, 100 %
2026/09/01 09:37:42.808, 1639 MiB, 61 %
2026/09/01 09:38:12.808, 1639 MiB, 79 %
2026/09/01 09:38:42.809, 1639 MiB, 69 %
2026/09/01 09:39:12.810, 1639 MiB, 53 %
2026/09/01 09:39:42.811, 1639 MiB, 100 %
2026/09/01 09:40:12.812, 1639 MiB, 96 %
2026/09/01 09:40:42.813, 1639 MiB, 23 %
2026/09/01 09:41:12.814, 1639 MiB, 100 %
2026/09/01 09:41:42.815, 1639 MiB, 69 %
2026/09/01 09:42:12.816, 1639 MiB, 23 %
2026/09/01 09:42:42.816, 1639 MiB, 100 %
2026/09/01 09:43:12.816, 1639 MiB, 72 %
2026/09/01 09:43:42.817, 1639 MiB, 24 %
2026/09/01 09:44:12.818, 1639 MiB, 100 %
2026/09/01 09:44:42.819, 1639 MiB, 100 %
2026/09/01 09:45:12.820, 1639 MiB, 24 %
2026/09/01 09:45:42.821, 1639 MiB, 71 %
2026/09/01 09:46:12.822, 1639 MiB, 100 %
2026/09/01 09:46:42.823, 1639 MiB, 24 %
2026/09/01 09:47:12.824, 1639 MiB, 89 %
2026/09/01 09:47:42.825, 1639 MiB, 98 %
2026/09/01 09:48:12.825, 1639 MiB, 26 %
2026/09/01 09:48:42.826, 1639 MiB, 100 %
2026/09/01 09:49:12.827, 1639 MiB, 100 %
2026/09/01 09:49:42.828, 1639 MiB, 100 %
2026/09/01 09:50:12.829, 1639 MiB, 71 %
2026/09/01 09:50:42.830, 1639 MiB, 24 %
2026/09/01 09:51:12.831, 1639 MiB, 100 %
2026/09/01 09:51:42.831, 1639 MiB, 71 %
2026/09/01 09:52:12.832, 1639 MiB, 55 %
2026/09/01 09:52:42.833, 1639 MiB, 100 %
2026/09/01 09:53:12.833, 1639 MiB, 100 %
2026/09/01 09:53:42.834, 1639 MiB, 71 %
2026/09/01 09:54:12.835, 1639 MiB, 24 %
2026/09/01 09:54:42.836, 1639 MiB, 100 %
2026/09/01 09:55:12.836, 1639 MiB, 100 %
2026/09/01 09:55:42.837, 1639 MiB, 100 %
2026/09/01 09:56:12.837, 1639 MiB, 71 %
2026/09/01 09:56:42.838, 1639 MiB, 23 %
2026/09/01 09:57:12.839, 1639 MiB, 100 %
2026/09/01 09:57:42.840, 1639 MiB, 80 %
2026/09/01 09:58:12.841, 1639 MiB, 44 %
2026/09/01 09:58:42.842, 1639 MiB, 100 %
2026/09/01 09:59:12.842, 1639 MiB, 100 %
2026/09/01 09:59:42.843, 1639 MiB, 100 %
2026/09/01 10:00:12.844, 1639 MiB, 100 %
2026/09/01 10:00:42.845, 1639 MiB, 100 %
2026/09/01 10:01:12.846, 1639 MiB, 24 %
2026/09/01 10:01:42.847, 1639 MiB, 75 %
2026/09/01 10:02:12.848, 1639 MiB, 76 %
2026/09/01 10:02:42.848, 1639 MiB, 22 %
2026/09/01 10:03:12.849, 1639 MiB, 100 %
2026/09/01 10:03:42.850, 1639 MiB, 100 %
2026/09/01 10:04:12.851, 1639 MiB, 100 %
2026/09/01 10:04:42.852, 1639 MiB, 100 %
2026/09/01 10:05:12.853, 1639 MiB, 100 %
2026/09/01 10:05:42.854, 1639 MiB, 98 %
2026/09/01 10:06:12.855, 1639 MiB, 61 %
2026/09/01 10:06:42.855, 1639 MiB, 100 %
2026/09/01 10:07:12.856, 1639 MiB, 100 %
2026/09/01 10:07:42.858, 1639 MiB, 100 %
2026/09/01 10:08:12.859, 1639 MiB, 100 %
2026/09/01 10:08:42.859, 1639 MiB, 59 %
2026/09/01 10:09:12.861, 1639 MiB, 100 %
2026/09/01 10:09:42.861, 1639 MiB, 71 %
2026/09/01 10:10:12.862, 1639 MiB, 23 %
2026/09/01 10:10:42.863, 1639 MiB, 100 %
2026/09/01 10:11:12.863, 1639 MiB, 76 %
2026/09/01 10:11:42.864, 1639 MiB, 30 %
2026/09/01 10:12:12.865, 1639 MiB, 100 %
2026/09/01 10:12:42.866, 1639 MiB, 84 %
2026/09/01 10:13:12.867, 1639 MiB, 100 %
2026/09/01 10:13:42.868, 1639 MiB, 100 %
2026/09/01 10:14:12.869, 1639 MiB, 23 %
2026/09/01 10:14:42.869, 1639 MiB, 100 %
2026/09/01 10:15:12.870, 1639 MiB, 100 %
2026/09/01 10:15:42.871, 1639 MiB, 97 %
2026/09/01 10:16:12.872, 1639 MiB, 100 %
2026/09/01 10:16:42.873, 1639 MiB, 100 %
2026/09/01 10:17:12.874, 1639 MiB, 65 %
2026/09/01 10:17:42.874, 1639 MiB, 100 %
2026/09/01 10:18:12.876, 1639 MiB, 94 %
2026/09/01 10:18:42.877, 1639 MiB, 25 %
2026/09/01 10:19:12.878, 1639 MiB, 69 %
2026/09/01 10:19:42.879, 1639 MiB, 75 %
2026/09/01 10:20:12.879, 1639 MiB, 24 %
2026/09/01 10:20:42.880, 1639 MiB, 71 %
2026/09/01 10:21:12.881, 1639 MiB, 100 %
2026/09/01 10:21:42.882, 1639 MiB, 82 %
2026/09/01 10:22:12.883, 1639 MiB, 100 %
2026/09/01 10:22:42.883, 1639 MiB, 68 %
2026/09/01 10:23:12.884, 1639 MiB, 89 %
2026/09/01 10:23:42.885, 1639 MiB, 100 %
2026/09/01 10:24:12.886, 1639 MiB, 100 %
2026/09/01 10:24:42.887, 1639 MiB, 39 %
2026/09/01 10:25:12.888, 1639 MiB, 100 %
2026/09/01 10:25:42.888, 1639 MiB, 82 %
2026/09/01 10:26:12.889, 1639 MiB, 97 %
2026/09/01 10:26:42.890, 1639 MiB, 92 %
2026/09/01 10:27:12.891, 1639 MiB, 37 %
2026/09/01 10:27:42.891, 1639 MiB, 100 %
2026/09/01 10:28:12.892, 1639 MiB, 28 %
2026/09/01 10:28:42.893, 1639 MiB, 100 %
2026/09/01 10:29:12.893, 1639 MiB, 79 %
2026/09/01 10:29:42.894, 1639 MiB, 23 %
2026/09/01 10:30:12.894, 1639 MiB, 70 %
2026/09/01 10:30:42.895, 1639 MiB, 100 %
2026/09/01 10:31:12.895, 1639 MiB, 100 %
2026/09/01 10:31:42.896, 1639 MiB, 71 %
2026/09/01 10:32:12.897, 1639 MiB, 23 %
2026/09/01 10:32:42.898, 1639 MiB, 75 %
2026/09/01 10:33:12.898, 1639 MiB, 73 %
2026/09/01 10:33:42.899, 1639 MiB, 23 %
2026/09/01 10:34:12.899, 1639 MiB, 100 %
2026/09/01 10:34:42.900, 1639 MiB, 87 %
2026/09/01 10:35:12.901, 1639 MiB, 77 %
2026/09/01 10:35:42.901, 1639 MiB, 82 %
